Rank	Title	Author	Volume Sales	Editions Combined	Imprint	Publisher	Publication Date	Genre
53	You are What You Eat:The Plan That Will Change Your Life	"McKeith, Gillian"	"1,104,403"	1	Michael Joseph	Penguin Grp	"Thursday, June 17, 2004"	T9.4  Fitness & Diet
54	"Shadow of the Wind,The"	"Zafon, Carlos Ruiz"	"1,092,349"	6	Phoenix (an Imprint of The Ori	Orion Grp	"Wednesday, October 5, 2005"	F1.1  General & Literary Fiction
55	"Tales of Beedle the Bard,The"	"Rowling, J.K."	"1,090,847"	1	Bloomsbury Publishing PLC	Bloomsbury Grp	"Saturday, August 2, 2008"	Y2.1  Children's Fiction
56	"Broker,The"	"Grisham, John"	"1,087,262"	4	Arrow Books	Random House Grp	"Saturday, August 27, 2005"	"F2.1  Crime, Thriller & Adventure"
57	"Dr. Atkins' New Diet Revolution:The No-hunger, Luxurious Weight Loss P"	"Atkins, Robert C."	"1,054,196"	1	Vermilion	Random House Grp	"Thursday, January 2, 2003"	T9.4  Fitness & Diet
58	"Subtle Knife,The:His Dark Materials S."	"Pullman, Philip"	"1,037,160"	6	Point	Scholastic Ltd. Grp	"Friday, October 16, 1998"	Y2.2  Young Adult Fiction
59	"Eats, Shoots and Leaves:The Zero Tolerance Approach to Punctuation"	"Truss, Lynne"	"1,023,688"	2	Profile Books	Profile Books Group	"Thursday, November 6, 2003"	T2.1  Usage & Writing Guides
60	Delia's How to Cook:(Bk.1)	"Smith, Delia"	"1,015,956"	1	BBC Books (Random House)	Random House Grp	"Monday, October 12, 1998"	T16.0  Food & Drink: General
61	Chocolat	"Harris, Joanne"	"1,009,873"	3	Black Swan	Transworld Grp	"Thursday, March 2, 2000"	F1.1  General & Literary Fiction
62	"Boy in the Striped Pyjamas,The"	"Boyne, John"	"1,004,414"	6	Red Fox	Random House Childrens Books G	"Thursday, September 11, 2008"	Y2.2  Young Adult Fiction
63	My Sister's Keeper	"Picoult, Jodi"	"1,003,780"	3	Hodder & Stoughton Ltd	Hodder & Stoughton Grp	"Saturday, June 19, 2004"	F1.1  General & Literary Fiction
64	"Amber Spyglass,The:His Dark Materials S."	"Pullman, Philip"	"1,002,314"	6	Point	Scholastic Ltd. Grp	"Friday, September 14, 2001"	Y2.2  Young Adult Fiction
65	To Kill a Mockingbird	"Lee, Harper"	"998,213"	7	Arrow Books	Random House Grp	"Thursday, October 5, 1989"	F1.1  General & Literary Fiction
66	"Men are from Mars, Women are from Venus:A Practical Guide for Improvin"	"Gray, John"	"992,846"	4	Thorsons	HarperCollins Grp	"Sunday, August 1, 1993"	T8.7  Popular Culture & Media: General Interest
67	Dear Fatty	"French, Dawn"	"986,753"	4	Century	Random House Grp	"Thursday, October 9, 2008"	T4.1A  Autobiography:  The Arts
68	"Short History of Tractors in Ukrainian,A"	"Lewycka, Marina"	"986,115"	3	Penguin Books	Penguin Grp	"Thursday, March 2, 2006"	F1.1  General & Literary Fiction
69	Hannibal	"Harris, Thomas"	"970,509"	4	Arrow Books	Random House Grp	"Thursday, May 18, 2000"	"F2.1  Crime, Thriller & Adventure"
70	"Lord of the Rings,The"	"Tolkien, J. R. R."	"967,466"	10	HarperCollins Publishers	HarperCollins Grp	"Monday, June 5, 1995"	F2.2  Science Fiction & Fantasy
71	Stupid White Men:...and Other Sorry Excuses for the State of the Natio	"Moore, Michael"	"963,353"	3	Penguin Books	Penguin Grp	"Thursday, October 3, 2002"	T7.5  Current Affairs & Issues
72	"Interpretation of Murder,The"	"Rubenfeld, Jed"	"962,515"	1	Headline Review	Headline Grp	"Monday, January 15, 2007"	"F2.1  Crime, Thriller & Adventure"
73	Sharon Osbourne Extreme:My Autobiography	"Osbourne, Sharon"	"959,496"	3	Time Warner Books	"Little, Brown Book Grp"	"Monday, October 3, 2005"	T4.1A  Autobiography:  The Arts
74	"Alchemist,The:A Fable About Following Your Dream"	"Coelho, Paulo"	"956,114"	1	Thorsons	HarperCollins Grp	"Saturday, January 3, 1998"	F1.1  General & Literary Fiction
75	At My Mother's Knee ...:and Other Low Joints	"O'Grady, Paul"	"945,640"	3	Bantam Press	Transworld Grp	"Wednesday, September 24, 2008"	T4.1A  Autobiography:  The Arts
76	Notes from a Small Island	"Bryson, Bill"	"931,312"	3	Black Swan	Transworld Grp	"Thursday, August 1, 1996"	T8.5  Travel Writing
77	"Return of the Naked Chef,The"	"Oliver, Jamie"	"925,425"	4	Michael Joseph	Penguin Grp	"Thursday, March 30, 2000"	T16.0  Food & Drink: General
78	Bridget Jones: The Edge of Reason	"Fielding, Helen"	"924,695"	1	Picador	Pan Macmillan Grp	"Thursday, June 15, 2000"	F1.1  General & Literary Fiction
79	Jamie's Italy	"Oliver, Jamie"	"906,968"	3	Michael Joseph	Penguin Grp	"Monday, October 3, 2005"	T16.1  National & Regional Cuisine
80	I Can Make You Thin	"McKenna, Paul"	"905,086"	3	Bantam Press	Transworld Grp	"Monday, January 17, 2005"	T9.4  Fitness & Diet
81	Down Under	"Bryson, Bill"	"890,847"	2	Black Swan	Transworld Grp	"Saturday, May 5, 2001"	T8.5  Travel Writing
82	"Summons,The"	"Grisham, John"	"869,671"	5	Arrow Books	Random House Grp	"Saturday, September 28, 2002"	"F2.1  Crime, Thriller & Adventure"
83	Small Island	"Levy, Andrea"	"869,659"	3	Headline Review	Headline Grp	"Monday, September 13, 2004"	F1.1  General & Literary Fiction
84	Nigella Express	"Lawson, Nigella"	"862,602"	2	Chatto & Windus	Random House Grp	"Thursday, September 6, 2007"	T16.0  Food & Drink: General
85	Brick Lane	"Ali, Monica"	"856,540"	4	Black Swan	Transworld Grp	"Saturday, May 1, 2004"	F1.1  General & Literary Fiction
86	"Memory Keeper's Daughter,The"	"Edwards, Kim"	"845,858"	1	Penguin Books	Penguin Grp	"Saturday, April 7, 2007"	F1.1  General & Literary Fiction
87	Room on the Broom	"Donaldson, Julia"	"842,535"	5	Macmillan Children's Books	Pan Macmillan Grp	"Friday, September 20, 2002"	Y1.3  Picture Books
88	About a Boy	"Hornby, Nick"	"828,215"	4	Penguin Books	Penguin Grp	"Thursday, April 4, 2002"	F1.1  General & Literary Fiction
89	My Booky Wook	"Brand, Russell"	"820,563"	3	Hodder & Stoughton Ltd	Hodder & Stoughton Grp	"Thursday, November 15, 2007"	T4.1A  Autobiography:  The Arts
90	"God Delusion,The"	"Dawkins, Richard"	"816,907"	3	Black Swan	Transworld Grp	"Monday, May 21, 2007"	T8.0  Popular Science
91	"""Beano"" Annual,The"	0	"816,585"	3	"D.C. Thomson & Co.,"	D.C. Thomson Grp	"Wednesday, September 1, 2004"	Y3.1  Children's Annuals
92	White Teeth	"Smith, Zadie"	"815,586"	3	Penguin Books	Penguin Grp	"Thursday, January 25, 2001"	F1.1  General & Literary Fiction
93	"House at Riverton,The"	"Morton, Kate"	"814,370"	1	Pan Books	Pan Macmillan Grp	"Friday, June 15, 2007"	F1.1  General & Literary Fiction
94	"Book Thief,The"	"Zusak, Markus"	"809,641"	5	Black Swan	Transworld Grp	"Saturday, September 8, 2007"	F1.1  General & Literary Fiction
95	Nights of Rain and Stars	"Binchy, Maeve"	"808,900"	5	Orion (an Imprint of The Orion	Orion Grp	"Wednesday, June 29, 2005"	F1.1  General & Literary Fiction
96	"Ghost,The"	"Harris, Robert"	"807,311"	6	Arrow Books	Random House Grp	"Thursday, July 3, 2008"	F1.1  General & Literary Fiction
97	Happy Days with the Naked Chef	"Oliver, Jamie"	"794,201"	4	Michael Joseph	Penguin Grp	"Monday, September 3, 2001"	T16.0  Food & Drink: General
98	"Hunger Games,The:Hunger Games Trilogy"	"Collins, Suzanne"	"792,187"	3	Scholastic	Scholastic Ltd. Grp	"Thursday, December 1, 2011"	Y2.2  Young Adult Fiction
99	"Lost Boy,The:A Foster Child's Search for the Love of a Family"	"Pelzer, Dave"	"791,507"	3	Orion (an Imprint of The Orion	Orion Grp	"Saturday, April 7, 2001"	T4.0  Biography: General
100	Jamie's Ministry of Food:Anyone Can Learn to Cook in 24 Hours	"Oliver, Jamie"	"791,095"	1	Michael Joseph	Penguin Grp	"Friday, October 3, 2008"	T16.0  Food & Drink: General
			"149,727,199"					
